model,model_short,regime,coverage,accuracy_mean,accuracy_seed_ci_low,accuracy_seed_ci_high,aurc_mean,ece_raw_mean,ece_calibrated_mean
mcldnn_reimplementation,MCLDNN,clean_retention,0.1,0.9996,0.9989967580899056,1.0002032419100946,0.0877627015203969,0.07963705539613963,0.08668537990093231
mcldnn_reimplementation,MCLDNN,clean_retention,0.2,0.9996,0.9990998182315999,1.0001001817684,0.0877627015203969,0.07963705539613963,0.08668537990093231
mcldnn_reimplementation,MCLDNN,clean_retention,0.3,0.9996666666666666,0.9993294441872046,1.0000038891461285,0.0877627015203969,0.07963705539613963,0.08668537990093231
mcldnn_reimplementation,MCLDNN,clean_retention,0.5,0.99652,0.9904559183874521,1.0025840816125478,0.0877627015203969,0.07963705539613963,0.08668537990093231
mcldnn_reimplementation,MCLDNN,clean_retention,0.7,0.8464,0.8442842610763354,0.8485157389236647,0.0877627015203969,0.07963705539613963,0.08668537990093231
mcldnn_reimplementation,MCLDNN,clean_retention,0.9,0.7323999999999999,0.7298867154741336,0.7349132845258662,0.0877627015203969,0.07963705539613963,0.08668537990093231
mcldnn_reimplementation,MCLDNN,clean_retention,1.0,0.67648,0.6737778398282072,0.6791821601717928,0.0877627015203969,0.07963705539613963,0.08668537990093231
iqformer_inspired,IQFormer,hard_interference,0.1,0.9928000000000001,0.9890327554789105,0.9965672445210898,0.2226463217737072,0.08153456386893988,0.10269044245749712
iqformer_inspired,IQFormer,hard_interference,0.2,0.9846,0.9749069799164172,0.9942930200835829,0.2226463217737072,0.08153456386893988,0.10269044245749712
iqformer_inspired,IQFormer,hard_interference,0.3,0.9486000000000001,0.9297618321586146,0.9674381678413856,0.2226463217737072,0.08153456386893988,0.10269044245749712
iqformer_inspired,IQFormer,hard_interference,0.5,0.778,0.7530513702391831,0.8029486297608169,0.2226463217737072,0.08153456386893988,0.10269044245749712
iqformer_inspired,IQFormer,hard_interference,0.7,0.6364571428571428,0.6161235181565319,0.6567907675577538,0.2226463217737072,0.08153456386893988,0.10269044245749712
iqformer_inspired,IQFormer,hard_interference,0.9,0.5354000000000001,0.5185345384882308,0.5522654615117694,0.2226463217737072,0.08153456386893988,0.10269044245749712
iqformer_inspired,IQFormer,hard_interference,1.0,0.4953,0.4799424499171443,0.5106575500828557,0.2226463217737072,0.08153456386893988,0.10269044245749712
iqformer_inspired,IQFormer,id_test,0.1,0.998,0.9964918952247639,0.9995081047752361,0.08694255351373945,0.042870535719990735,0.026083752547204492
iqformer_inspired,IQFormer,id_test,0.2,0.9982000000000001,0.9971996364631999,0.9992003635368003,0.08694255351373945,0.042870535719990735,0.026083752547204492
iqformer_inspired,IQFormer,id_test,0.3,0.9980666666666667,0.9971275425921705,0.9990057907411628,0.08694255351373945,0.042870535719990735,0.026083752547204492
iqformer_inspired,IQFormer,id_test,0.5,0.9608399999999999,0.9483903598694564,0.9732896401305434,0.08694255351373945,0.042870535719990735,0.026083752547204492
iqformer_inspired,IQFormer,id_test,0.7,0.8635428571428572,0.8486918728111581,0.8783938414745562,0.08694255351373945,0.042870535719990735,0.026083752547204492
iqformer_inspired,IQFormer,id_test,0.9,0.748511111111111,0.7360451814991872,0.7609770407230348,0.08694255351373945,0.042870535719990735,0.026083752547204492
iqformer_inspired,IQFormer,id_test,1.0,0.6952,0.6840172225882954,0.7063827774117046,0.08694255351373945,0.042870535719990735,0.026083752547204492
iqformer_inspired,IQFormer,combined_ood,0.1,0.9982,0.9966254923898984,0.9997745076101016,0.12028851066149966,0.05229122563302517,0.0651093408213556
iqformer_inspired,IQFormer,combined_ood,0.2,0.9984,0.9978998182315998,0.9989001817684001,0.12028851066149966,0.05229122563302517,0.0651093408213556
iqformer_inspired,IQFormer,combined_ood,0.3,0.9978,0.9972470282490802,0.9983529717509199,0.12028851066149966,0.05229122563302517,0.0651093408213556
iqformer_inspired,IQFormer,combined_ood,0.5,0.93896,0.9295765337921025,0.9483434662078976,0.12028851066149966,0.05229122563302517,0.0651093408213556
iqformer_inspired,IQFormer,combined_ood,0.7,0.7918571428571429,0.7806792767559481,0.8030350089583378,0.12028851066149966,0.05229122563302517,0.0651093408213556
iqformer_inspired,IQFormer,combined_ood,0.9,0.6745555555555556,0.6649912256527636,0.6841198854583476,0.12028851066149966,0.05229122563302517,0.0651093408213556
iqformer_inspired,IQFormer,combined_ood,1.0,0.62372,0.6146620259249539,0.6327779740750462,0.12028851066149966,0.05229122563302517,0.0651093408213556
iqformer_inspired,IQFormer,clean_retention,0.1,1.0,1.0,1.0,0.06619988470725365,0.051306628375351424,0.057338942021429515
iqformer_inspired,IQFormer,clean_retention,0.2,1.0,1.0,1.0,0.06619988470725365,0.051306628375351424,0.057338942021429515
iqformer_inspired,IQFormer,clean_retention,0.3,0.9999333333333332,0.9997825228558096,1.0000841438108568,0.06619988470725365,0.051306628375351424,0.057338942021429515
iqformer_inspired,IQFormer,clean_retention,0.5,0.9997199999999999,0.9994168746917051,1.0000231253082947,0.06619988470725365,0.051306628375351424,0.057338942021429515
iqformer_inspired,IQFormer,clean_retention,0.7,0.8977142857142859,0.8911873775547718,0.9042411938738,0.06619988470725365,0.051306628375351424,0.057338942021429515
iqformer_inspired,IQFormer,clean_retention,0.9,0.7772222222222223,0.7713281190053786,0.783116325439066,0.06619988470725365,0.051306628375351424,0.057338942021429515
iqformer_inspired,IQFormer,clean_retention,1.0,0.7173999999999999,0.7119653796038743,0.7228346203961256,0.06619988470725365,0.051306628375351424,0.057338942021429515
